"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-08-02","-37.88 %","-76.60 %"," 17.57 %","  6.09 %"," 73.47 %"," 66.67 %","-48.75 %","-44.90 %"," ##.## %"," ##.## %","-81.48 %"," ##.## %","-10.99 %"," 27.27 %","-67.49 %","-17.37 %","  5.54 %","-30.40 %"," ##.## %","   .00 %","-18.24 %"," ##.## %"," 71.43 %","  3.88 %","-39.29 %"," 10.45 %"," -5.52 %"," ##.## %","-80.66 %","  5.91 %"," ##.## %","-18.22 %"," 27.33 %",""," ##.## %"," ##.## %","-37.62 %"
"2020-08-03"," 21.31 %"," ##.## %"," 14.94 %"," ##.## %","-51.76 %"," 40.00 %"," 24.39 %","-40.74 %","-80.95 %","-28.57 %"," ##.## %"," ##.## %"," 86.42 %","-32.14 %"," ##.## %","-22.46 %","-12.22 %"," 15.92 %","-12.40 %","-76.92 %"," 18.46 %","-60.23 %","-16.67 %"," 11.84 %","-35.29 %","-41.03 %","  2.79 %","-67.02 %"," ##.## %","-24.19 %","-96.00 %"," 43.48 %","-21.40 %","","-83.33 %","-73.33 %","-95.24 %"
"2020-08-04","-11.62 %","-61.90 %","-28.00 %","-30.50 %"," 39.02 %",""," 70.59 %","-25.00 %"," 45.83 %"," 20.00 %","-72.13 %","-97.00 %","-35.98 %","-94.74 %","-55.90 %"," 11.21 %","-26.91 %","-16.90 %","-56.64 %"," ##.## %"," -1.52 %"," ##.## %"," 30.00 %","-41.78 %"," ##.## %"," 25.54 %","-41.98 %"," 87.10 %","-46.76 %","   .00 %"," ##.## %","-24.24 %","-28.62 %",""," ##.## %"," ##.## %"," ##.## %"
"2020-08-05"," ##.## %"," ##.## %","-31.94 %"," 24.43 %"," 56.14 %","   .00 %","-55.17 %"," ##.## %","-77.14 %"," ##.## %"," ##.## %"," 33.33 %"," 60.69 %"," ##.## %"," 76.95 %"," 27.73 %"," 58.67 %"," 94.92 %"," 42.86 %","   .00 %"," 54.95 %","-58.72 %"," 23.08 %"," 43.06 %","  4.76 %","  8.11 %"," 94.47 %","-82.76 %","-21.96 %"," 18.40 %","   .00 %"," 45.50 %"," 54.30 %",""," -9.09 %","-10.94 %","-11.54 %"
"2020-08-06","-20.92 %"," ##.## %"," ##.## %"," -1.45 %"," 22.47 %"," ##.## %"," ##.## %"," 76.92 %"," ##.## %","-66.67 %","-50.00 %"," ##.## %","  3.00 %"," ##.## %"," 31.16 %"," 39.47 %","-19.11 %"," 16.96 %","-17.86 %"," ##.## %"," 15.60 %","-18.31 %"," -6.25 %","-12.37 %","-27.27 %"," 29.55 %"," -6.13 %"," ##.## %"," 65.33 %","  6.22 %","-64.29 %"," -6.53 %"," -2.60 %","","-50.00 %","-59.65 %"," -4.35 %"
"2020-08-07","-12.57 %"," -4.05 %","-41.13 %"," 64.94 %"," 30.28 %","-75.47 %","-46.34 %","-33.33 %","-33.33 %"," 61.54 %","-65.22 %"," ##.## %","-12.29 %"," -7.58 %","-52.13 %","-18.87 %"," -5.27 %"," -3.90 %"," 72.17 %","-73.47 %"," -4.17 %"," 40.52 %","-13.33 %","-22.90 %"," 93.75 %"," -7.76 %","   .47 %","-77.19 %","-41.64 %","  7.32 %"," ##.## %"," 11.40 %","-16.01 %","","-40.00 %"," ##.## %","-22.73 %"
"2020-08-08"," 30.26 %","-61.97 %"," 21.69 %","-21.03 %","-24.65 %"," ##.## %"," ##.## %","-65.22 %"," ##.## %"," 61.90 %"," ##.## %","-90.00 %"," 55.82 %"," ##.## %"," 92.59 %"," 30.81 %"," 51.28 %","  -.58 %","-37.88 %"," ##.## %","  1.15 %"," 20.25 %"," 30.77 %"," 85.15 %"," 20.97 %"," -2.35 %"," -6.96 %","-38.46 %"," 31.25 %","-14.55 %"," -6.67 %"," 44.22 %"," 51.09 %","   .00 %","-33.33 %","-16.95 %"," ##.## %"
"2020-08-09"," -1.48 %"," ##.## %","-32.67 %","-20.68 %"," ##.## %","-94.87 %","-19.63 %"," 93.75 %","-62.06 %","-85.29 %","-31.71 %"," ##.## %","-49.70 %","-45.54 %","-14.62 %"," 24.00 %","-18.25 %"," 17.51 %"," 15.45 %","-82.69 %"," 23.04 %","-17.86 %"," 35.29 %"," 21.39 %"," -1.33 %","  8.33 %","  8.73 %"," ##.## %"," 22.62 %"," 36.70 %"," 92.86 %"," -6.86 %","-22.34 %",""," ##.## %","-14.29 %"," -4.35 %"
"2020-08-10","  7.53 %","-55.88 %"," 32.35 %"," 40.36 %","-33.19 %"," ##.## %","-11.63 %"," 16.13 %","-75.97 %","   .00 %"," 75.00 %","  6.45 %"," 22.12 %","-27.27 %"," 30.41 %","-13.26 %","-13.23 %","-25.83 %","  4.23 %","-81.48 %","-64.51 %","  -.62 %","-39.13 %","-30.62 %"," 13.51 %","-43.67 %","-27.98 %","  5.83 %","-38.83 %","-64.59 %","-55.56 %","  2.46 %","-25.06 %","","-91.30 %","-64.29 %","-27.27 %"
"2020-08-11","   .47 %"," 60.00 %"," 36.67 %","-49.36 %"," 98.09 %"," ##.## %","-53.95 %","-25.00 %"," ##.## %"," ##.## %"," 24.49 %","-51.52 %"," 29.78 %"," 70.00 %"," 86.18 %"," 17.36 %","  -.86 %"," 79.24 %","-28.38 %"," ##.## %"," 45.80 %"," ##.## %"," -7.14 %","  3.49 %","-28.57 %"," 14.36 %"," 38.85 %","-27.52 %","-25.40 %"," ##.## %","-75.00 %","-21.58 %","  6.71 %",""," ##.## %"," ##.## %"," 32.81 %"
"2020-08-12"," -2.01 %"," -8.33 %","-15.45 %"," 65.33 %","-69.77 %","-43.75 %"," 54.29 %"," 66.67 %","-49.72 %","-27.78 %","-55.74 %"," 68.75 %","-20.46 %","-29.41 %","-41.19 %","-14.44 %"," 23.45 %"," -3.86 %"," 26.42 %"," -5.41 %"," ##.## %","-63.11 %","  7.69 %"," 42.02 %"," -6.67 %"," 53.47 %"," -5.05 %","  2.53 %"," 28.37 %"," 42.86 %"," ##.## %"," 16.21 %"," 41.30 %","","   .00 %"," 19.35 %"," 63.53 %"
"2020-08-13","-16.59 %","-25.00 %","-27.88 %"," -5.17 %"," 27.66 %","-33.33 %","-16.67 %"," 97.78 %","  8.89 %"," ##.## %"," 18.52 %"," 22.22 %"," 19.71 %","-15.62 %"," 32.02 %"," -9.05 %","  6.01 %","-29.66 %","-43.28 %"," ##.## %","-18.20 %"," 71.07 %"," 50.00 %","-16.85 %"," 10.71 %","-19.79 %"," 22.22 %","-24.69 %"," 23.20 %"," 19.63 %","-93.33 %","-16.05 %","-10.75 %",""," 27.27 %"," -8.11 %","-43.17 %"
"2020-08-14"," 11.93 %"," 63.64 %"," ##.## %"," 25.64 %","-38.33 %"," ##.## %"," ##.## %","-55.06 %"," ##.## %","-70.59 %","-34.38 %"," 33.33 %"," 16.47 %"," 19.75 %","-12.54 %","-21.72 %","-18.42 %"," 41.07 %"," 93.42 %","-82.95 %","  1.62 %"," -7.73 %"," 14.29 %","-10.13 %","-33.87 %","  9.57 %"," -8.10 %"," ##.## %"," 44.84 %","-25.39 %"," ##.## %"," 43.89 %"," -5.29 %",""," 92.86 %"," ##.## %"," 45.57 %"
"2020-08-15","-37.39 %","-27.78 %","-51.23 %","  4.59 %"," 58.11 %","  4.17 %","-11.76 %"," 15.00 %"," 17.80 %"," 30.00 %"," 57.14 %","-11.36 %","-17.07 %","-46.39 %","-12.70 %","  4.62 %","-##.## %"," 24.80 %"," -8.16 %"," ##.## %"," 29.44 %"," -7.85 %","-##.## %"," 71.10 %"," 46.34 %","  9.77 %"," 56.13 %","-11.73 %","  4.02 %"," 63.90 %","-80.00 %"," -8.71 %"," 37.65 %","","-29.63 %","-45.33 %","-46.96 %"
"2020-08-16","-20.54 %","-20.51 %"," 31.65 %","-65.85 %","-27.35 %","-12.00 %","-34.44 %","-32.61 %","-85.44 %","-76.92 %","-57.58 %"," 15.38 %"," 24.32 %"," 50.00 %","-18.94 %"," 30.94 %","   .00 %","-27.72 %","-51.11 %","-91.78 %","-44.25 %","-27.84 %","   .00 %","-33.95 %"," 26.67 %","  7.33 %","-45.18 %","-57.34 %"," -4.17 %","-49.87 %","-33.33 %","-36.28 %","-23.18 %","","-47.37 %","-39.02 %","-11.48 %"
"2020-08-17","  8.84 %","-45.16 %","-14.42 %"," 67.86 %"," -5.88 %","-13.64 %","-23.73 %","-48.39 %"," 52.83 %"," ##.## %","  7.14 %","","-39.46 %"," ##.## %","-34.56 %","-44.30 %","-25.45 %","-37.63 %"," 65.15 %","-66.67 %"," 19.29 %"," 19.69 %","-90.00 %","-55.50 %","-30.26 %","-39.28 %","-43.47 %"," -9.84 %"," -1.86 %","  3.54 %"," ##.## %"," -5.24 %","-27.11 %","","-50.00 %"," ##.## %","-44.44 %"
"2020-08-18"," 67.19 %","-41.18 %"," 49.44 %","  4.68 %"," 45.00 %"," ##.## %"," ##.## %","   .00 %"," 18.52 %","-15.38 %"," 60.00 %","-57.78 %"," 29.01 %","-69.42 %"," 38.94 %"," 37.88 %"," 23.64 %"," 88.40 %"," ##.## %"," ##.## %","-13.70 %","-32.89 %"," ##.## %"," 51.72 %"," 84.91 %"," 29.71 %"," 87.56 %"," ##.## %"," 28.16 %"," 72.20 %","-32.79 %"," 72.33 %","  7.88 %",""," ##.## %","-60.66 %"," ##.## %"
"2020-08-19"," 12.71 %"," ##.## %","-16.54 %"," ##.## %"," ##.## %","-21.82 %","-28.71 %"," ##.## %"," -8.33 %"," 18.18 %"," 41.67 %"," 84.21 %"," 29.55 %"," ##.## %"," 13.38 %","-28.02 %"," 21.59 %"," 22.78 %","-27.63 %","  2.70 %"," 11.02 %"," ##.## %"," 28.57 %"," 58.71 %","  6.12 %"," 10.53 %"," 17.77 %","-69.29 %","-21.23 %","-18.98 %","-65.85 %","  6.88 %"," 36.51 %",""," ##.## %","-45.83 %","-20.55 %"
"2020-08-20"," -8.62 %","-63.33 %"," 42.34 %"," -3.66 %"," 11.03 %","-60.47 %","-33.33 %","-55.38 %","-12.50 %","-69.23 %"," 38.24 %","-14.29 %","  2.15 %","  6.00 %","  7.68 %"," 80.92 %"," 13.07 %","  5.32 %"," 24.73 %"," ##.## %"," 36.73 %","-13.73 %"," 33.33 %","-23.39 %"," -5.77 %"," 28.53 %"," 24.14 %"," 83.72 %"," 23.82 %"," 23.08 %"," -7.14 %","-26.82 %","  3.50 %","","-55.93 %"," ##.## %"," 67.24 %"
"2020-08-21"," -4.90 %","-13.64 %","-57.59 %","-40.87 %","  4.45 %"," 11.76 %","-39.58 %"," ##.## %"," ##.## %"," ##.## %"," -2.13 %","-53.33 %","  5.99 %","-52.83 %"," -3.48 %","-26.58 %","  9.84 %","  5.81 %"," 14.22 %"," 38.27 %","-23.85 %","-48.11 %","-16.67 %"," 17.76 %","-28.57 %"," -1.77 %"," -8.75 %"," 69.62 %","-10.38 %"," -7.67 %"," ##.## %","-12.32 %","  2.41 %",""," 84.62 %","-28.12 %","-20.62 %"
"2020-08-22"," 11.83 %"," ##.## %"," 35.82 %","-20.26 %","-13.11 %"," ##.## %"," 75.86 %","-52.69 %"," ##.## %","-60.00 %"," -2.17 %"," ##.## %"," 18.78 %","-20.00 %"," 14.05 %"," ##.## %","-19.35 %","-20.34 %","-36.60 %"," 33.04 %"," 10.52 %"," 91.97 %"," 50.00 %"," -3.97 %"," 20.00 %"," -5.10 %","-15.63 %","-40.30 %","  9.60 %"," 21.54 %"," ##.## %"," 41.14 %"," -7.94 %","","-22.92 %"," 43.48 %","-53.25 %"
"2020-08-23","-15.19 %","-65.22 %","-24.18 %","-71.77 %","-69.43 %","-65.85 %"," 19.61 %"," 79.55 %","-90.69 %"," ##.## %","-51.11 %","-17.95 %","-19.41 %"," 50.00 %","-17.54 %","-60.43 %","-12.61 %"," -7.57 %","-61.31 %","-20.13 %","-46.70 %","-30.42 %","  6.67 %"," -4.13 %","  2.38 %","-21.27 %","-29.47 %","-55.00 %","-16.24 %","-35.95 %","","-25.12 %","-27.19 %","","-56.76 %","   .00 %"," 63.89 %"
"2020-08-24","-19.92 %"," 95.83 %"," ##.## %"," ##.## %"," 70.37 %"," 14.29 %","  1.64 %","-40.51 %"," ##.## %","-64.29 %"," 81.82 %","-92.19 %","  3.51 %","-63.33 %"," 28.16 %","-42.47 %","-25.03 %","-19.80 %"," ##.## %","  -.84 %"," 92.02 %"," 10.38 %"," 50.00 %","-52.30 %","-41.86 %"," -9.15 %","-17.61 %"," ##.## %"," 30.46 %"," 76.28 %","   .00 %"," 16.14 %","-12.35 %","","-68.75 %"," 60.61 %","  5.08 %"
"2020-08-25"," 16.08 %","-23.40 %","-40.58 %"," 20.23 %","-11.59 %"," ##.## %","-56.45 %"," 53.19 %","-87.50 %"," ##.## %","-15.00 %"," 20.00 %"," -4.62 %"," -3.03 %","-26.76 %"," 97.62 %","-21.00 %"," 20.27 %","-14.37 %"," -9.32 %"," -7.00 %","-48.02 %","-70.83 %","-15.06 %"," 66.00 %","  9.72 %","-21.38 %","-52.08 %","-20.28 %","  9.64 %"," 21.31 %"," -5.99 %","-12.71 %",""," ##.## %","-86.79 %"," 35.48 %"
"2020-08-26"," 30.74 %"," 30.56 %"," 23.17 %","-17.32 %","-31.97 %","-34.69 %"," ##.## %","-31.94 %"," ##.## %","-54.17 %"," 76.47 %"," ##.## %"," -3.23 %"," 90.62 %","-21.22 %","  9.64 %"," ##.## %"," 60.33 %"," 67.83 %"," 21.50 %"," 16.12 %","-47.62 %"," ##.## %"," ##.## %"," -8.43 %"," 27.77 %"," ##.## %"," 41.30 %"," 30.77 %","  3.27 %","-72.97 %","-44.06 %"," ##.## %","","  4.00 %"," ##.## %"," 25.00 %"
"2020-08-27","   .17 %"," 21.28 %"," 32.67 %","-16.52 %","-30.12 %"," 31.25 %","-27.78 %"," ##.## %","-15.38 %"," ##.## %"," 11.67 %"," ##.## %"," 18.70 %","-29.51 %"," 32.64 %"," 17.03 %","-27.13 %"," -1.66 %"," 22.50 %"," 10.00 %","  1.82 %","-10.91 %"," 46.67 %","-14.29 %"," -2.63 %"," 13.81 %","-12.14 %"," 33.85 %"," 19.46 %","  5.94 %"," -5.00 %"," 62.18 %","-25.21 %","","-21.15 %","-52.46 %"," 11.43 %"
"2020-08-28"," -9.92 %","  8.77 %","-23.13 %","-30.74 %"," 10.34 %","-19.05 %"," 24.36 %","-20.93 %"," 40.26 %"," 88.00 %"," 17.91 %","-40.00 %","-17.86 %"," 41.86 %"," 42.77 %","-31.46 %"," -9.70 %"," -6.67 %","-12.93 %","-46.85 %","-28.06 %"," ##.## %","-36.36 %","-24.18 %","-14.86 %","  -.79 %","  2.88 %"," 33.33 %"," 16.67 %"," 26.73 %"," 15.79 %","  6.07 %"," -1.58 %","","-12.20 %"," 51.72 %","-11.97 %"
"2020-08-29"," 12.84 %","-22.58 %"," 23.30 %"," 95.41 %"," 81.25 %"," 76.47 %"," 31.96 %"," 46.08 %","-10.19 %","-76.60 %"," 22.78 %"," 41.67 %"," 47.60 %"," 19.67 %"," -8.34 %"," 26.71 %","  5.00 %"," 20.50 %"," 19.92 %","-14.47 %"," 60.44 %"," 13.77 %","-92.86 %"," 14.66 %"," 30.16 %","  5.73 %","  8.02 %"," 11.21 %"," -5.36 %","  5.75 %"," 36.36 %"," 57.83 %","-10.83 %",""," 55.56 %","-11.36 %"," 13.59 %"
"2020-08-30","-23.74 %"," 68.75 %","-10.24 %","-68.41 %","-10.34 %"," 81.67 %","-65.62 %"," 85.23 %","-18.56 %"," ##.## %","-50.52 %","-80.39 %","-12.41 %"," -8.22 %"," 45.37 %"," 45.41 %"," -3.43 %","-24.30 %","  1.30 %"," ##.## %"," 23.88 %","-31.21 %"," ##.## %","  8.65 %","-18.29 %"," -3.37 %"," -3.11 %"," 26.36 %"," 18.35 %","-14.09 %"," 60.00 %","-25.00 %"," 28.14 %",""," 17.86 %"," 61.54 %","-18.80 %"
"2020-08-31","-49.47 %","-87.65 %","  8.77 %"," ##.## %"," -9.62 %","-78.90 %"," 50.00 %","-43.84 %"," 14.56 %","-92.00 %","-39.58 %"," ##.## %","-19.74 %"," 38.81 %","-47.02 %","-35.32 %"," -4.69 %","-24.36 %","-11.90 %","-63.79 %","-37.72 %"," 22.22 %","-29.41 %","-16.61 %"," 16.42 %","-48.17 %","-17.47 %","-49.69 %","  8.26 %","-31.49 %"," ##.## %","-32.32 %","-14.02 %","","-92.42 %","-93.65 %","-61.05 %"
"2020-09-01"," ##.## %"," ##.## %","-43.55 %","-50.92 %","-22.34 %"," ##.## %"," ##.## %"," 69.68 %","-63.54 %"," ##.## %"," ##.## %","-88.14 %","  9.57 %","  2.15 %","-46.32 %"," 35.63 %"," -3.14 %"," 86.14 %"," 25.18 %","-60.00 %","-33.63 %"," ##.## %"," 33.33 %"," 68.05 %"," 34.62 %"," 80.89 %"," 11.88 %"," 41.46 %"," 56.63 %"," 84.83 %","-83.09 %"," 75.56 %"," -6.68 %",""," ##.## %"," ##.## %"," ##.## %"
"2020-09-02","-19.06 %","-64.38 %","-47.14 %"," 52.41 %"," 78.08 %","-18.60 %","-49.66 %","-23.57 %"," ##.## %","-12.20 %","  7.92 %"," ##.## %"," 31.63 %"," 42.11 %"," ##.## %"," 34.75 %"," 42.03 %","   .60 %"," -3.21 %"," ##.## %"," 73.06 %","-38.46 %"," 50.00 %","  4.44 %","-18.10 %","  3.46 %"," 44.02 %"," 25.86 %","-35.64 %","-12.44 %"," 73.91 %"," -9.42 %"," 46.59 %","","-52.94 %","-56.07 %","-24.53 %"
"2020-09-03"," 25.94 %"," 42.31 %"," ##.## %","   .35 %","-23.08 %","-81.43 %"," ##.## %","  1.49 %"," ##.## %","-41.67 %"," 60.55 %","-26.67 %","-40.96 %","-28.15 %","-22.39 %","-14.47 %"," -5.92 %","  8.00 %","-10.24 %","-15.84 %","-12.65 %"," 72.62 %","-20.83 %","  6.38 %"," 34.88 %","  8.19 %"," -4.29 %"," -7.53 %"," 12.22 %"," -1.90 %"," ##.## %"," 27.90 %"," -6.92 %",""," 71.88 %"," 36.17 %"," 45.00 %"
"2020-09-04","  9.35 %","-16.22 %","-31.19 %"," 18.18 %"," 10.00 %"," ##.## %","-30.86 %","  7.84 %","-34.16 %","-19.05 %","-24.57 %"," 39.39 %"," 43.22 %"," 41.24 %"," 44.02 %"," 56.25 %"," 26.41 %"," 14.07 %"," 31.88 %"," -2.35 %","  4.23 %","-25.52 %"," 10.53 %","-11.78 %","  2.59 %"," -7.93 %"," 16.39 %","-38.52 %","-14.67 %","  1.64 %"," 55.42 %","-14.42 %"," 17.93 %","","  6.36 %"," 21.88 %"," 14.94 %"
"2020-09-05"," -2.23 %"," 95.16 %","-44.00 %"," 18.64 %"," 87.27 %"," 61.40 %","-45.45 %"," 47.73 %","-46.97 %","-11.76 %"," 12.12 %"," 56.52 %","-31.94 %","-17.52 %"," 10.83 %","  -.71 %","-12.49 %"," -5.74 %"," -6.87 %"," 25.30 %"," -4.59 %","  6.94 %"," -4.76 %"," 21.16 %"," 20.17 %"," 34.36 %"," 14.44 %"," ##.## %"," 21.36 %"," 40.09 %","-26.36 %"," 55.08 %"," -6.26 %",""," -3.42 %"," -5.13 %","-30.50 %"
"2020-09-06","-26.49 %","-34.71 %"," ##.## %"," 45.89 %"," -4.37 %"," 17.93 %"," ##.## %","-16.92 %"," ##.## %"," ##.## %","-32.43 %","-26.39 %"," 55.86 %"," 30.09 %"," ##.## %","-18.25 %"," 13.15 %","  9.13 %","-17.76 %","  9.62 %"," 79.84 %","-21.21 %"," ##.## %","-22.87 %"," 26.57 %"," -1.92 %"," -1.26 %","-20.22 %"," 10.29 %"," -6.71 %","  8.42 %"," -4.87 %"," 20.63 %","","-27.43 %","-33.78 %","-27.34 %"
"2020-09-07"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %"
