"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-06-08",""," ##.## %",""," 40.00 %","  8.33 %",""," -2.67 %"," 38.67 %",""," 30.00 %"," ##.## %","","","","","","",""," 15.04 %","","-16.67 %"," 89.53 %"," 22.50 %"," 23.95 %",""," 50.71 %",""," 77.00 %",""," 56.71 %","",""," ##.## %","  7.56 %"," 86.33 %","",""
"2020-06-09",""," ##.## %",""," 26.67 %","-25.00 %","","  3.19 %"," -4.67 %",""," 20.00 %","","","","","","","",""," 69.50 %","","  3.33 %"," 17.53 %"," ##.## %"," 31.06 %",""," 27.38 %",""," 97.00 %",""," ##.## %","",""," ##.## %"," -3.87 %"," 75.00 %","",""
"2020-06-10"," 56.67 %"," ##.## %","","","",""," 29.18 %"," 13.33 %",""," 20.00 %"," ##.## %","","",""," ##.## %","","   .00 %",""," 53.03 %","-10.00 %"," ##.## %"," 48.83 %"," ##.## %","  8.50 %",""," 33.10 %",""," 91.67 %",""," 68.92 %","","",""," 15.30 %"," ##.## %","",""
"2020-06-11"," ##.## %"," ##.## %","","","-15.00 %","","  -.09 %"," 20.00 %"," 23.33 %","",""," 41.14 %","","","","","   .00 %","   .00 %"," 22.93 %","",""," 10.83 %"," ##.## %"," 16.79 %",""," 18.10 %",""," ##.## %",""," 55.10 %","",""," ##.## %","  6.32 %","","",""
"2020-06-12"," ##.## %"," ##.## %","","","","","-15.09 %"," -1.67 %"," 23.33 %","","","","","","",""," ##.## %",""," 17.08 %"," 10.00 %",""," 40.00 %"," 91.11 %"," -2.79 %",""," -1.90 %",""," 18.33 %","","","",""," ##.## %"," 69.40 %","","",""
"2020-06-13"," 96.29 %"," ##.## %","","",""," ##.## %"," ##.## %","-11.67 %","","",""," 49.14 %"," ##.## %"," 98.00 %","",""," ##.## %",""," 17.81 %"," 10.00 %"," ##.## %"," 13.33 %"," ##.## %"," 40.05 %"," 25.00 %","-21.90 %"," 68.28 %"," 13.00 %","","","",""," ##.## %"," 70.01 %","","",""
"2020-06-14"," 52.65 %"," ##.## %","","",""," ##.## %"," ##.## %"," 41.67 %","","",""," 50.86 %"," 96.43 %"," ##.## %","","","","-10.00 %","-21.01 %","","","","-11.56 %"," 11.94 %"," 25.00 %","-26.90 %"," 73.73 %","  8.00 %","","","",""," ##.## %"," 62.15 %","",""," 11.33 %"
"2020-06-15"," 57.09 %"," ##.## %","","",""," ##.## %"," ##.## %"," 25.00 %","","",""," 10.86 %"," 96.43 %"," ##.## %","","",""," 40.00 %","  -.84 %",""," ##.## %",""," 63.44 %"," 12.66 %"," 33.33 %"," 21.67 %"," 58.81 %","","","","",""," ##.## %"," 46.32 %","",""," -2.00 %"
"2020-06-16","-32.24 %"," 66.60 %","","",""," 69.18 %"," ##.## %"," 38.33 %","","","",""," ##.## %"," 23.13 %","","","","","  4.25 %",""," ##.## %",""," 56.78 %","   .41 %"," 23.33 %",""," 56.31 %","","","","","",""," 51.58 %","-26.71 %"," ##.## %"," ##.## %"
"2020-06-17"," 73.47 %"," 55.13 %","","",""," ##.## %"," ##.## %"," 58.33 %","","","",""," ##.## %"," ##.## %","","",""," 25.71 %"," 18.26 %","","",""," 61.78 %"," 29.95 %"," 23.33 %"," 13.33 %"," ##.## %","",""," 62.58 %","",""," 22.00 %","-21.15 %","-31.71 %",""," ##.## %"
"2020-06-18"," 68.14 %"," ##.## %","","","   .00 %"," ##.## %"," ##.## %"," 50.33 %"," 26.11 %","","",""," ##.## %"," ##.## %","","","",""," 14.97 %",""," ##.## %",""," 51.11 %"," -5.21 %",""," 53.33 %"," ##.## %","",""," 61.99 %","",""," 25.33 %"," 35.52 %"," 36.09 %"," 96.67 %"," ##.## %"
"2020-06-19"," 67.78 %"," ##.## %","","",""," ##.## %"," ##.## %"," 83.67 %"," 92.78 %","","","",""," ##.## %"," 35.00 %","",""," 35.71 %","  9.32 %","","  2.59 %",""," 72.44 %"," 13.00 %","",""," ##.## %","",""," 72.02 %","",""," 28.67 %","",""," ##.## %"," ##.## %"
"2020-06-20",""," 39.35 %","","",""," ##.## %"," ##.## %"," 76.05 %"," 96.79 %","","","",""," ##.## %"," ##.## %","","","","  5.62 %",""," ##.## %"," ##.## %","-16.13 %"," 29.14 %","",""," ##.## %"," 13.33 %",""," 10.47 %","",""," 88.67 %",""," 39.59 %"," ##.## %"," ##.## %"
"2020-06-21",""," ##.## %","","",""," ##.## %"," 14.14 %"," 61.05 %","","",""," 20.73 %",""," ##.## %"," ##.## %","","",""," 12.89 %",""," ##.## %"," ##.## %"," ##.## %"," 24.36 %","",""," ##.## %"," 13.33 %",""," ##.## %","","","",""," 44.62 %"," ##.## %"," 77.43 %"
"2020-06-22",""," ##.## %","","","",""," 38.23 %","","","",""," ##.## %",""," ##.## %"," ##.## %",""," ##.## %",""," -2.38 %",""," ##.## %",""," ##.## %","  9.79 %","",""," 15.42 %"," 23.33 %",""," 79.46 %",""," 90.34 %","",""," 39.47 %"," 30.00 %"," ##.## %"
"2020-06-23",""," ##.## %","","","","","-11.37 %"," 84.05 %","","",""," ##.## %",""," ##.## %","","","",""," 33.24 %",""," ##.## %",""," ##.## %"," 11.00 %","",""," 70.42 %"," 16.67 %",""," 69.42 %",""," 85.90 %"," 92.00 %",""," ##.## %",""," ##.## %"
"2020-06-24",""," ##.## %","","","   .00 %",""," 38.89 %"," 77.05 %","","",""," ##.## %","  3.33 %"," ##.## %"," ##.## %","","",""," 37.58 %",""," ##.## %",""," ##.## %","  -.71 %","",""," 23.75 %"," -3.33 %",""," 57.54 %",""," 88.75 %"," 85.45 %"," 85.11 %"," ##.## %",""," ##.## %"
"2020-06-25"," ##.## %"," ##.## %","","","",""," 14.86 %"," -9.62 %","","",""," ##.## %","  3.33 %"," 71.36 %"," ##.## %","","",""," 18.92 %",""," 66.55 %",""," ##.## %","  5.68 %",""," 64.94 %"," 32.00 %"," ##.## %",""," ##.## %","","-11.25 %"," 85.45 %"," 71.78 %"," ##.## %",""," 32.12 %"
"2020-06-26"," ##.## %","  4.89 %","","","-10.00 %",""," ##.## %"," 24.67 %"," 72.42 %","",""," ##.## %","  3.33 %",""," 40.83 %","","",""," 21.64 %",""," ##.## %",""," 17.12 %","  2.08 %",""," ##.## %"," 65.33 %"," ##.## %",""," ##.## %","",""," 95.45 %"," 16.78 %"," ##.## %","",""
