"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-06-10","  2.36 %","   .00 %","  1.13 %","   .00 %","   .00 %","   .76 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  4.17 %","   .00 %","  1.89 %","   .00 %","   .93 %"
"2020-06-11","  1.79 %","   .00 %","  1.64 %","   .00 %","   .00 %","   .76 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.85 %","   .00 %","  -.23 %"
"2020-06-12","  4.53 %","   .00 %","  1.98 %","  2.78 %","  8.33 %","   .75 %","   .00 %","  5.00 %","","   .00 %","   .99 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .46 %"
"2020-06-13","   .96 %","   .00 %","  1.87 %","   .00 %","   .00 %","  1.49 %","  4.76 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","   .00 %","  1.15 %"
"2020-06-14","  1.43 %","   .00 %","  1.41 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  6.45 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.83 %"
"2020-06-15","   .94 %","   .00 %","   .77 %","   .00 %","   .00 %","   .00 %","  4.55 %","   .00 %","","  3.03 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-16","  -.23 %","   .00 %","   .35 %","   .00 %","   .00 %","   .74 %","   .00 %","   .00 %","","   .00 %","  -.98 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .90 %"
"2020-06-17","  1.40 %","   .00 %","   .76 %","   .00 %","   .00 %","   .73 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  4.00 %","-66.67 %","   .00 %","   .00 %","   .00 %"
"2020-06-18","  1.61 %"," 10.00 %","  2.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," -2.94 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .22 %"
"2020-06-19","   .91 %","   .00 %","  1.54 %","  2.70 %","   .00 %","   .00 %","   .00 %","   .00 %","","  3.03 %","   .99 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","   .00 %","  1.33 %"
