"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-08-06","","","","","","","","","-53.33 %"," 15.04 %","",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %"," 49.53 %","-23.33 %","",""," ##.## %"," 25.05 %"," 81.96 %","","-18.18 %","",""," ##.## %"
"2020-08-07","","",""," 40.00 %","","","",""," -3.33 %"," 26.62 %"," ##.## %",""," ##.## %"," ##.## %","",""," ##.## %"," ##.## %","  6.19 %","-33.33 %"," 95.00 %",""," 46.19 %"," 28.06 %"," 82.22 %"," 30.00 %"," 61.82 %","",""," ##.## %"
"2020-08-08",""," 52.52 %",""," 53.33 %","-12.02 %",""," ##.## %","   .00 %"," ##.## %"," -3.76 %"," ##.## %",""," 58.37 %"," ##.## %","",""," ##.## %"," ##.## %","-10.95 %","-55.00 %"," 86.11 %",""," 45.14 %"," 25.48 %"," ##.## %"," 82.00 %"," 45.82 %"," -2.00 %",""," ##.## %"
"2020-08-09",""," 50.52 %",""," 37.33 %","-17.02 %",""," ##.## %","-10.00 %","","  1.75 %"," ##.## %",""," 66.67 %"," ##.## %","",""," ##.## %"," ##.## %",""," 25.00 %","",""," 52.64 %"," -5.00 %"," 30.71 %"," 65.33 %",""," 48.00 %",""," ##.## %"
"2020-08-10","-16.67 %","   .08 %",""," ##.## %","-17.86 %",""," ##.## %"," 70.00 %"," ##.## %","  6.09 %"," ##.## %",""," ##.## %"," ##.## %","","",""," ##.## %","",""," ##.## %",""," ##.## %"," 17.10 %"," 82.83 %"," 72.00 %",""," 62.29 %",""," ##.## %"
"2020-08-11",""," 16.36 %",""," ##.## %","-13.97 %",""," 18.44 %"," ##.## %"," ##.## %"," 13.24 %","  9.17 %",""," 70.89 %"," ##.## %","","","","-20.67 %","",""," 50.11 %",""," 93.04 %","  -.50 %"," 62.08 %"," 87.00 %",""," 52.62 %",""," 53.49 %"
"2020-08-12",""," 25.00 %",""," ##.## %"," 50.32 %"," 63.00 %"," 29.52 %",""," ##.## %","  5.26 %"," 21.67 %",""," 77.25 %"," 33.78 %","","","","","",""," 15.57 %"," 30.00 %"," ##.## %"," 17.49 %"," ##.## %"," 91.29 %",""," 32.62 %",""," 34.46 %"
"2020-08-13",""," 16.56 %",""," ##.## %"," 44.71 %"," 53.00 %"," 12.52 %"," 91.71 %"," ##.## %"," 24.43 %"," 18.33 %",""," 62.81 %"," 20.85 %",""," 20.67 %","","","",""," 21.99 %"," 16.67 %"," 99.09 %"," 20.90 %"," ##.## %"," 43.50 %",""," ##.## %",""," 53.07 %"
"2020-08-14","","  1.89 %",""," ##.## %"," 59.05 %"," ##.## %"," 19.21 %",""," 19.74 %"," 17.10 %"," 41.33 %",""," ##.## %"," 40.85 %",""," 44.67 %","","","-16.86 %",""," 26.88 %"," 56.67 %"," ##.## %"," 24.74 %"," ##.## %"," 66.25 %"," -8.67 %"," ##.## %",""," 27.83 %"
"2020-08-15",""," 43.00 %",""," ##.## %","",""," 39.54 %",""," 30.00 %"," 16.27 %"," 22.76 %",""," ##.## %","  4.19 %",""," 50.12 %"," ##.## %",""," 15.14 %",""," -8.78 %"," 63.33 %","  1.65 %","  8.14 %"," 97.91 %"," 45.58 %"," 11.33 %"," ##.## %",""," 29.82 %"
