"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/idukki"
"2020-07-20","  1.92 %","-26.53 %","-51.02 %",""," ##.## %","-50.88 %","  5.33 %"," ##.## %"," ##.## %"," ##.## %","","-39.51 %","-91.43 %","-18.02 %","-31.15 %"," ##.## %",""
"2020-07-21","-13.21 %"," 11.11 %","",""," 18.75 %"," 42.86 %","  7.59 %","-15.22 %","-57.61 %"," 22.00 %",""," -6.12 %"," ##.## %","-17.03 %","-54.76 %","-34.62 %",""
"2020-07-22"," ##.## %"," 15.00 %","   .00 %","","-24.56 %"," ##.## %"," 56.47 %"," 30.77 %","-35.90 %","   .00 %","","-26.09 %"," 22.50 %"," 49.67 %"," ##.## %","-76.47 %",""
"2020-07-23","-31.67 %","  8.70 %"," 46.51 %",""," 18.60 %","-53.47 %","-20.30 %"," 56.86 %"," ##.## %"," 45.90 %",""," 50.00 %","-44.90 %"," -1.77 %"," 48.21 %"," ##.## %",""
"2020-07-24","-46.34 %","-31.00 %","-53.97 %","","-64.71 %"," ##.## %"," 25.47 %","-37.50 %"," 22.39 %","-34.83 %",""," 13.73 %","-14.81 %","-24.77 %","-60.24 %"," 50.00 %",""
"2020-07-25"," ##.## %"," 14.49 %"," 37.93 %",""," ##.## %","  -.94 %","-39.85 %"," 54.00 %"," 34.15 %"," 17.24 %","","-39.66 %"," ##.## %"," 43.71 %","  9.09 %"," 13.33 %",""
"2020-07-26","-54.90 %","-22.78 %"," 20.00 %","","-24.19 %","  1.90 %"," -7.50 %","-29.87 %","-48.18 %","-17.65 %",""," 20.00 %"," 75.00 %","-27.08 %"," 13.89 %"," 64.71 %",""
"2020-07-27","-34.78 %","-75.41 %"," 45.83 %","","-19.15 %","-64.49 %","-70.27 %","  9.26 %"," 19.30 %"," 53.57 %",""," -2.38 %","-81.32 %"," -8.00 %"," -2.44 %","-39.29 %",""
"2020-07-28"," ##.## %"," ##.## %","-90.00 %",""," 13.16 %","   .00 %"," ##.## %"," ##.## %"," -1.47 %"," 30.23 %",""," ##.## %"," ##.## %"," 37.89 %"," ##.## %"," ##.## %",""
"2020-07-29","-54.76 %"," 18.57 %"," ##.## %",""," -2.33 %"," 28.95 %","-11.58 %","-75.42 %","   .00 %","-22.32 %","","-43.02 %","-14.29 %"," -4.05 %","-71.56 %","-18.87 %",""
