"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-07-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .22 %","  1.00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .37 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .37 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .44 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .51 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .36 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-04","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .14 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-05","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .14 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-06","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .07 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-07","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-08","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .07 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .07 %","  1.90 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","  1.90 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","  1.90 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","  1.90 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .07 %","  1.90 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .07 %","   .00 %","","   .21 %","   .00 %","   .00 %","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .07 %","   .00 %","","   .62 %","   .00 %","   .00 %","   .00 %"
"2020-08-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %","","   .62 %","   .00 %","   .00 %","   .00 %"
"2020-08-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %","","   .62 %","   .00 %","   .00 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %","","   .62 %","   .00 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %","","   .41 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
