"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-05-15","","","","","","",""," ##.## %","-38.10 %","-22.86 %","","","   .00 %","   .00 %","","   .00 %","",""," ##.## %","","","-53.44 %"," 10.00 %","","","","   .00 %","","","","","-42.86 %","","","","   .00 %","","","   .00 %","-25.00 %","-50.00 %","-50.00 %","","","","","","","",""," ##.## %","","-88.89 %","","","","","","","",""
"2020-05-16","","","","","","","   .00 %"," ##.## %","  7.69 %","   .00 %","","   .00 %","","","   .00 %","","",""," ##.## %","",""," 29.51 %","-36.36 %","",""," ##.## %","","","   .00 %","   .00 %","","-75.00 %","","","","","","","","-66.67 %","","","","","","","","","","   .00 %"," 20.00 %","   .00 %","","","","","","","","",""
"2020-05-17","","","","","","   .00 %","","-75.00 %"," 35.71 %","","","","","","   .00 %","","","","-16.67 %","","   .00 %"," 16.46 %","","","","","   .00 %","",""," ##.## %","","","","","   .00 %","","","","","   .00 %","","","","","","","","","",""," ##.## %","","   .00 %","","","","","","","",""
"2020-05-18","","","","   .00 %","","-33.33 %",""," ##.## %","   .00 %","   .00 %","","   .00 %","","","-75.00 %","   .00 %","","","-30.00 %","","","  3.26 %","   .00 %","",""," ##.## %","","",""," 66.67 %","","   .00 %","","","","","","","-25.00 %"," ##.## %","","","","","","","","","","","-57.58 %","","","","","","","","","",""
"2020-05-19","","","","","","   .00 %"," ##.## %"," ##.## %","-57.89 %"," ##.## %","","","","","","-90.00 %"," ##.## %","","   .00 %","","","-24.21 %","-71.43 %","   .00 %","","-69.57 %","   .00 %","","   .00 %","-20.00 %","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","-66.67 %","   .00 %","-50.00 %"," 35.71 %","","","","","","","","","",""
"2020-05-20","","",""," ##.## %","","-50.00 %",""," ##.## %"," ##.## %","","   .00 %",""," ##.## %","","   .00 %","","","","-28.57 %","","","  8.33 %","   .00 %","","","","","","   .00 %"," 50.00 %","","","","","   .00 %","","",""," ##.## %"," ##.## %","   .00 %","","","","","","","","",""," ##.## %","","   .00 %","","","","","","","",""
"2020-05-21","","","","-50.00 %","   .00 %"," ##.## %","","-69.23 %","-35.71 %","-71.43 %","","","-75.00 %","-66.67 %","   .00 %","","",""," 20.00 %","","","-24.36 %"," ##.## %","","","   .00 %","","","-84.21 %"," ##.## %","","   .00 %","","","","","   .00 %","   .00 %","-##.## %","-66.67 %","","","","   .00 %","   .00 %","","   .00 %"," ##.## %","","","  5.17 %","","","","","","","","","",""
"2020-05-22","","","","","","","","-50.00 %"," 40.74 %","-75.00 %","","","",""," 33.33 %","   .00 %","-50.00 %",""," 16.67 %","",""," 28.81 %","-66.67 %","","","","","","-66.67 %","-35.71 %","","","","","","","","   .00 %","   .00 %","-14.29 %"," ##.## %","","   .00 %","","","","   .00 %",""," ##.## %","","-62.30 %","   .00 %","   .00 %","","","","","","","",""
"2020-05-23","","",""," ##.## %"," ##.## %","","-33.33 %","","   .00 %"," 33.33 %","","","","   .00 %"," 75.00 %","   .00 %"," ##.## %","   .00 %","-71.43 %","","","  9.21 %"," ##.## %","-75.00 %","","   .00 %","   .00 %",""," ##.## %","","","","","","","","","   .00 %","","-66.67 %","","","","","","   .00 %","   .00 %","","",""," 17.39 %","","","","","","","","","",""
"2020-05-24","","","","","","","   .00 %","   .00 %"," 31.58 %"," ##.## %"," 50.00 %",""," ##.## %","   .00 %","","   .00 %","",""," ##.## %","",""," -9.64 %"," ##.## %","","","-25.00 %"," ##.## %","","   .00 %","-55.56 %","   .00 %","   .00 %","","","","   .00 %","","",""," ##.## %","-50.00 %","","","   .00 %","","","","","","","-18.52 %","","   .00 %","","","","","","","",""
